1	2534	G11B-000
2	84230	G06F-007
3	212	G01M-007
4	2230	G05B-013
5	35274	G06F-000
6	62427	G06F-015
7	638419	G06F-017
8	487	G07C-003
9	1484	F02D-041
10	210	F02D-043
11	1155	F02D-045
12	173	F02P-005
13	539	G01M-015
14	299	G01P-003
15	11021	G06T-001
16	10974	H04N-001
17	18486	H04N-007
18	50130	G06F-009
19	37519	G06F-013
20	220	H03M-003
21	1302	H04J-003
22	378	H04L-005
23	795	H04L-007
24	31067	H04L-012
25	55562	H04L-029
26	5990	G06F-005
27	1731	G11C-007
28	399	G11C-008
29	869	G11C-011
30	37	G04B-019
31	95	G04B-047
32	68851	G06F-003
33	6836	H04M-003
34	652	H04Q-003
35	30	B24B-009
36	738	G01B-021
37	161	G02C-013
38	1068	H03H-017
39	24583	G06F-011
40	3062	H03K-019
41	237	H03H-021
42	15502	G06G-007
43	870	H03K-003
44	2218	G10L-013
45	9318	G10L-015
46	4912	G10L-017
47	227	H04R-025
48	1558	H02J-003
49	504	G07D-007
50	4587	G07F-007
51	14	B01F-005
52	347	G01F-001
53	128	G01F-015
54	5	G06D-005
55	14175	G06F-001
56	165	H02J-001
57	39111	G06F-019
58	7008	A61B-005
59	437	G06F-159
60	11076	H01L-021
61	3567	H01L-027
62	300	G06J-001
63	60	H03B-028
64	1087	H03M-001
65	1548	H04L-001
66	57	H04L-023
67	7371	G06T-011
68	39386	H04L-009
69	2	C06F-013
70	38776	G06F-012
71	922	G11B-005
72	5427	G11B-020
73	15338	H04N-005
74	754	B41J-002
75	492	B41J-003
76	1463	B41J-005
77	1073	B41J-021
78	30	H01B-001
79	4	B41J-007
80	8794	G09G-005
81	1907	G07B-015
82	4410	H04B-007
83	3	F42B-008
84	9	F42B-012
85	1	F42C-013
86	1	F42C-014
87	468	G07C-013
88	2710	G09B-005
89	1559	G09B-007
90	78	F02B-077
91	25	F02P-017
92	378	H03L-007
93	83	B29C-035
94	514	B29C-067
95	39	B29K-105
96	2733	H03M-007
97	23128	G06K-009
98	31	G03B-000
99	823	H04N-000
100	108	G01R-000
101	4979	G01R-031
102	270	G05B-000
103	9361	G05B-019
104	1834	H04Q-009
105	1146	B60R-025
106	1002	E05B-049
107	356	E05B-065
108	893	G08C-019
109	213	A63B-024
110	321	A63B-069
111	475	A63B-071
112	4596	A63F-009
113	337	G06F-161
114	584	G07C-001
115	401	G07C-011
116	571	G07F-000
117	4006	G07F-017
118	118	B65C-009
119	861	G06K-001
120	2489	G06K-015
121	7503	G06K-017
122	346	B64F-005
123	2	F41A-031
124	27	F41A-033
125	11	F41F-003
126	71	F41G-007
127	31	F42B-015
128	10	F42B-035
129	122	G01R-001
130	1820	G06N-007
131	8441	G08G-001
132	674	H04L-025
133	1252	G06T-005
134	8861	G06K-019
135	52	H03G-001
136	91	H03G-007
137	5650	H04B-001
138	6257	G09C-001
139	69	B22D-011
140	116	G05D-009
141	399	B29C-045
142	1170	G01B-011
143	25	G01J-004
144	1547	G01N-021
145	619	G01N-027
146	469	G01R-027
147	8	F16C-000
148	7	F16C-017
149	443	G01R-023
150	395	G05B-009
151	129	H02B-001
152	10	H02J-011
153	293	G10L-005
154	243	G10L-009
155	10444	H04M-001
156	101	B22D-046
157	160	B23Q-017
158	922	G05B-017
159	361	G05F-001
160	4056	G06N-003
161	295	G01D-001
162	236	G01D-003
163	232	G01D-018
164	253	G01L-001
165	80	H01L-041
166	91	H03H-009
167	7905	H04Q-007
168	3575	G05D-001
169	675	G08G-005
170	82	A61M-000
171	22	A61M-011
172	139	A61M-016
173	921	G06K-000
174	5592	G06K-007
175	2381	G07C-009
176	7650	G06T-007
177	468	H04N-011
178	293	B23P-021
179	478	H05K-013
180	1852	G06K-005
181	1417	H04M-015
182	318	H04M-017
183	1139	A61B-006
184	98	G01B-015
185	329	G06K-011
186	180	G10K-011
187	116	H03B-029
188	30	H01J-013
189	1222	H03M-013
190	306	G06G-005
191	301	H04B-000
192	241	H04J-013
193	2250	H04L-000
194	556	H04M-000
195	962	G05B-011
196	19	B08B-007
197	252	G01D-005
198	114	G01G-023
199	34	G01L-000
200	94	G01L-019
201	38	G01L-021
202	8810	G01C-021
203	4453	G09B-029
204	78	G11C-027
205	79	H03B-001
206	230	H03H-011
207	62	B29C-039
208	10	B29C-069
209	67	B29C-070
210	3	B29D-009
211	1287	G03F-007
212	5361	G06T-017
213	1345	H05K-003
214	219	H04L-013
215	486	H04M-007
216	296	H04Q-011
217	162	G05B-001
218	753	H03K-005
219	1622	H04N-009
220	735	G11B-019
221	5225	G11B-027
222	641	H03F-003
223	6805	H04M-011
224	294	G07F-005
225	609	H04B-017
226	726	G06T-009
227	3101	G05B-023
228	101	G21D-003
229	267	G11B-017
230	340	G11B-033
231	1033	G08C-017
232	454	H03F-001
233	101	C23C-014
234	9	C23F-004
235	75	G11B-025
236	1851	G08B-013
237	346	G06F-153
238	5425	G07G-001
239	1587	H01L-029
240	66	H01L-049
241	1878	B65G-001
242	36	H03K-004
243	123	G01S-000
244	225	G01S-015
245	11	G06F-010
246	36	H04B-011
247	297	G01N-015
248	1914	B42D-015
249	1	G06T-012
250	935	G07B-017
251	310	G07C-000
252	79	B60J-005
253	23	E05B-000
254	243	E05B-047
255	20	E05B-051
256	139	H01H-013
257	835	H03K-017
258	302	A61B-000
259	497	G10L-003
260	831	G09B-009
261	5	C07B-063
262	50	G06F-163
263	32	H01J-040
264	490	H03G-003
265	55	H03G-011
266	32689	G06Q-030
267	1121	C12N-015
268	1071	G10H-001
269	1249	G05D-003
270	3281	G07F-019
271	3	B29D-012
272	5	G02C-003
273	206	H04H-007
274	4029	G01N-033
275	1703	G06T-003
276	96	H04J-014
277	499	G01R-019
278	401	G01V-009
279	927	G06E-001
280	749	G06E-003
281	663	A63F-007
282	780	B62D-006
283	80	B62D-007
284	274	B62D-101
285	13	B62D-105
286	123	B62D-111
287	257	B62D-113
288	30	G06J-003
289	208	B64C-013
290	424	A63F-003
291	267	G07C-015
292	912	G09G-003
293	149	H04B-014
294	357	G06F-157
295	128	H03M-009
296	353	B07C-003
297	6059	A63F-013
298	591	B60K-041
299	1	F16H-005
300	1148	F16H-059
301	1556	F16H-061
302	496	A61B-008
303	487	G01S-007
304	293	G09B-021
305	144	G11C-019
306	582	G09C-005
307	4045	H04K-001
308	67	H03H-015
309	544	G01D-021
310	1338	G08B-023
311	456	G21C-017
312	310	A61B-003
313	47	A01B-063
314	1399	B60T-008
315	205	H01L-000
316	468	H04B-010
317	22	A61F-007
318	340	A61M-005
319	1373	G11B-007
320	183	G11B-011
321	48	G11B-013
322	324	G11B-015
323	296	G11B-021
324	67	G06M-003
325	121	H03M-005
326	490	C12M-001
327	160	H03D-001
328	246	A61K-039
329	3	C07K-013
330	268	C07K-016
331	324	C12N-005
332	229	C12P-021
333	16	G06G-015
334	37	B60Q-011
335	43	B60R-027
336	365	B64D-045
337	15	G06F-167
338	3033	G06T-015
339	556	A63F-000
340	40	G01B-000
341	361	G01N-000
342	2382	G05B-015
343	121	A01D-041
344	992	B23Q-041
345	380	B65G-047
346	18	H01M-006
347	1007	H04B-005
348	11	A23F-003
349	164	G06K-013
350	2	B66C-009
351	120	G01L-003
352	324	A61B-010
353	2	C07K-003
354	242	G01R-013
355	478	G08B-005
356	9	G08K-007
357	539	G09F-009
358	101	H02P-007
359	15	H03J-009
360	574	B60K-031
361	184	F01N-003
362	8	F01N-007
363	3	F23J-000
364	69	H03K-007
365	323	F16H-063
366	1025	H03M-011
367	162	G11C-017
368	266	G11C-015
369	69	A61M-037
370	8	F04B-041
371	360	G09B-023
372	6	B23B-031
373	399	G01N-003
374	154	G11B-003
375	202	B60K-026
376	131	F02D-017
377	169	F02M-025
378	1561	G07C-005
379	472	G01R-021
380	174	G01R-022
381	112	H03M-000
382	458	H04J-001
383	394	G01G-019
384	80	G01R-025
385	277	H03H-007
386	261	G06F-155
387	31	F15B-013
