1;635;95;268;94
2;488;728;951;52
3;520;553;649;30
4;473;739;537;10
5;862;224;368;35
6;526;403;755;16
7;509;42;87;37
8;348;966;311;70
9;190;959;463;43
10;949;397;592;79
11;413;516;520;52
12;184;341;457;45
13;222;979;417;50
14;106;527;571;56
15;271;554;390;51
16;383;441;429;47
17;456;297;914;73
18;686;423;341;97
19;393;973;795;9
20;150;192;202;16
21;813;85;329;25
22;750;577;834;40
23;909;954;945;86
24;762;907;860;4
25;274;95;443;66
26;753;70;315;19
27;367;288;209;31
28;309;599;822;73
29;57;236;911;74
30;279;146;472;95
31;373;931;201;27
32;183;933;833;67
33;700;234;662;6
34;629;102;188;8
35;772;410;408;2
36;925;19;734;40
37;792;403;259;77
38;185;476;610;19
39;446;219;566;41
40;528;503;252;36
41;622;974;147;90
42;676;14;124;12
43;163;354;298;64
44;284;619;29;27
45;610;658;224;77
46;253;242;103;59
47;597;789;876;51
48;877;153;968;70
49;43;214;816;86
50;428;260;774;83
51;129;868;930;6
52;602;600;450;44
53;249;349;245;22
54;65;325;915;94
55;698;277;453;20
56;498;721;554;70
57;555;133;654;39
58;861;651;577;27
59;557;395;346;46
60;135;762;155;81
61;48;454;796;24
62;577;14;63;93
63;452;301;233;34
64;406;490;416;42
65;248;233;40;17
66;477;357;891;77
67;820;941;915;36
68;52;522;438;10
69;421;494;267;41
70;950;56;199;60
71;381;847;119;43
72;715;706;30;41
73;467;469;188;87
74;130;972;576;53
75;555;122;959;16
76;402;569;16;25
77;54;710;546;26
78;327;317;457;11
79;565;788;333;75
80;746;666;198;11
81;676;257;944;45
82;678;47;682;73
83;557;78;405;46
84;987;799;867;68
85;124;580;893;12
86;465;438;747;29
87;715;901;392;38
88;297;998;993;81
89;532;289;875;49
90;914;535;165;52
91;32;548;36;79
92;118;408;526;36
93;738;181;551;48
94;217;577;869;24
95;15;130;648;73
96;210;406;708;100
97;408;869;775;88
98;17;856;197;69
99;701;272;657;43
100;148;805;854;36
101;940;344;535;84
102;1000;572;166;79
103;669;380;810;68
104;794;393;107;83
105;874;162;845;86
106;531;104;204;8
107;349;892;795;72
108;4;880;735;51
109;640;36;31;75
110;514;196;577;14
111;759;858;582;34
112;636;489;673;41
113;322;227;281;79
114;654;57;24;64
115;837;372;648;10
116;966;46;842;21
117;62;138;744;1
118;371;361;611;61
119;22;171;310;86
120;866;114;516;72
121;655;218;201;34
122;893;37;883;74
123;673;270;208;70
124;450;490;441;47
125;962;170;602;70
126;348;197;602;58
127;741;824;182;25
128;640;362;656;63
129;379;262;681;73
130;954;90;135;43
131;482;911;331;96
132;510;124;472;88
133;496;41;346;42
134;145;500;428;68
135;312;864;721;37
136;329;232;510;34
137;249;187;363;41
138;203;830;602;23
139;788;116;816;75
140;122;561;142;18
141;94;314;20;4
142;745;151;339;100
143;828;599;578;25
144;361;92;79;90
145;347;305;115;84
146;449;955;332;95
147;510;706;228;21
148;640;592;546;86
149;311;797;900;25
150;705;338;570;82
151;858;328;912;74
152;114;400;497;40
153;160;243;538;5
154;778;673;74;71
155;293;705;493;28
156;789;400;743;1
157;114;451;274;70
158;393;55;648;45
159;93;18;72;63
160;879;165;316;87
161;75;42;396;37
162;969;566;371;67
163;901;490;561;21
164;116;222;376;68
165;201;738;856;63
166;862;797;315;24
167;977;69;656;75
168;998;938;74;60
169;265;377;526;79
170;543;536;692;64
171;794;613;972;32
172;629;888;793;8
173;684;686;591;67
174;270;40;237;48
175;172;880;940;43
176;99;503;895;60
177;866;555;335;68
178;53;274;277;46
179;625;601;879;89
180;354;112;748;91
181;235;330;932;75
182;685;714;734;7
183;779;641;973;76
